service_id,date,exception_type
1,20191209,1
1,20191210,1
1,20191211,1
1,20191212,1
1,20191213,1
1,20191216,1
1,20191217,1
1,20191218,1
1,20191219,1
1,20191220,1
1,20191223,1
1,20191224,1
1,20191226,1
1,20191227,1
1,20191230,1
1,20191231,1
1,20200102,1
1,20200103,1
1,20200106,1
1,20200107,1
1,20200108,1
1,20200109,1
1,20200110,1
1,20200113,1
1,20200114,1
1,20200115,1
1,20200116,1
1,20200117,1
1,20200121,1
1,20200122,1
1,20200123,1
1,20200124,1
1,20200127,1
1,20200128,1
1,20200129,1
1,20200130,1
1,20200131,1
1,20200203,1
1,20200204,1
1,20200205,1
1,20200206,1
1,20200207,1
1,20200210,1
1,20200211,1
1,20200212,1
1,20200213,1
1,20200214,1
1,20200218,1
1,20200219,1
1,20200220,1
1,20200221,1
1,20200224,1
1,20200225,1
1,20200226,1
1,20200227,1
1,20200228,1
1,20200302,1
1,20200303,1
1,20200304,1
1,20200305,1
1,20200306,1
1,20200309,1
1,20200310,1
1,20200311,1
1,20200312,1
1,20200313,1
1,20200316,1
1,20200317,1
1,20200318,1
1,20200319,1
1,20200320,1
1,20200323,1
1,20200324,1
1,20200325,1
1,20200326,1
1,20200327,1
2,20191214,1
2,20191215,1
2,20191221,1
2,20191222,1
2,20191225,1
2,20191228,1
2,20191229,1
2,20200101,1
2,20200104,1
2,20200105,1
2,20200111,1
2,20200112,1
2,20200118,1
2,20200119,1
2,20200120,1
2,20200125,1
2,20200126,1
2,20200201,1
2,20200202,1
2,20200208,1
2,20200209,1
2,20200215,1
2,20200216,1
2,20200217,1
2,20200222,1
2,20200223,1
2,20200229,1
2,20200301,1
2,20200307,1
2,20200308,1
2,20200314,1
2,20200315,1
2,20200321,1
2,20200322,1
2,20200328,1
3,20191214,1
3,20191215,1
3,20191221,1
3,20191222,1
3,20191225,1
3,20191228,1
3,20191229,1
3,20200101,1
3,20200104,1
3,20200105,1
3,20200111,1
3,20200112,1
3,20200118,1
3,20200119,1
3,20200120,1
3,20200125,1
3,20200126,1
3,20200201,1
3,20200202,1
3,20200208,1
3,20200209,1
3,20200215,1
3,20200216,1
3,20200217,1
3,20200222,1
3,20200223,1
3,20200229,1
3,20200301,1
3,20200307,1
3,20200308,1
3,20200314,1
3,20200315,1
3,20200321,1
3,20200322,1
4,20191209,1
4,20191210,1
4,20191211,1
4,20191212,1
4,20191213,1
4,20191216,1
4,20191217,1
4,20191218,1
4,20191219,1
4,20191220,1
4,20191223,1
4,20191224,1
4,20191226,1
4,20191227,1
4,20191230,1
4,20191231,1
4,20200102,1
4,20200103,1
5,20200120,1
5,20200217,1
6,20200106,1
6,20200107,1
6,20200108,1
6,20200109,1
6,20200110,1
6,20200113,1
6,20200114,1
6,20200115,1
6,20200116,1
6,20200117,1
6,20200121,1
6,20200122,1
6,20200123,1
6,20200124,1
6,20200127,1
6,20200128,1
6,20200129,1
6,20200130,1
6,20200131,1
6,20200203,1
6,20200204,1
6,20200205,1
6,20200206,1
6,20200207,1
6,20200210,1
6,20200211,1
6,20200212,1
6,20200213,1
6,20200214,1
6,20200218,1
6,20200219,1
6,20200220,1
6,20200221,1
6,20200224,1
6,20200225,1
6,20200226,1
6,20200227,1
6,20200228,1
6,20200302,1
6,20200305,1
6,20200306,1
6,20200309,1
6,20200310,1
6,20200311,1
6,20200312,1
6,20200313,1
6,20200316,1
6,20200317,1
6,20200318,1
6,20200319,1
6,20200320,1
6,20200323,1
6,20200324,1
6,20200325,1
6,20200326,1
6,20200327,1
7,20200304,1
8,20191209,1
8,20191210,1
8,20191211,1
8,20191212,1
8,20191213,1
8,20191216,1
8,20191217,1
8,20191218,1
8,20191219,1
8,20191220,1
8,20200102,1
8,20200103,1
9,20191209,1
9,20191210,1
9,20191211,1
9,20191212,1
9,20191213,1
9,20191216,1
9,20191217,1
9,20191218,1
9,20191219,1
9,20191220,1
9,20191223,1
9,20191224,1
9,20191226,1
9,20191227,1
9,20191230,1
9,20200102,1
9,20200103,1
10,20200104,1
10,20200105,1
10,20200111,1
10,20200112,1
10,20200118,1
10,20200119,1
10,20200120,1
10,20200125,1
10,20200126,1
10,20200201,1
10,20200202,1
10,20200208,1
10,20200209,1
10,20200215,1
10,20200216,1
10,20200217,1
10,20200222,1
10,20200223,1
10,20200229,1
10,20200301,1
10,20200307,1
10,20200308,1
10,20200314,1
10,20200315,1
10,20200321,1
10,20200322,1
11,20200105,1
11,20200111,1
11,20200112,1
11,20200118,1
11,20200119,1
11,20200125,1
11,20200126,1
11,20200201,1
11,20200202,1
11,20200208,1
11,20200209,1
11,20200215,1
11,20200216,1
11,20200222,1
11,20200223,1
11,20200229,1
11,20200301,1
11,20200307,1
11,20200308,1
11,20200314,1
11,20200315,1
11,20200321,1
11,20200322,1
11,20200328,1
12,20200105,1
12,20200111,1
12,20200112,1
12,20200118,1
12,20200119,1
12,20200120,1
12,20200125,1
12,20200126,1
12,20200201,1
12,20200202,1
12,20200208,1
12,20200209,1
12,20200215,1
12,20200216,1
12,20200217,1
12,20200222,1
12,20200223,1
12,20200229,1
12,20200301,1
12,20200307,1
12,20200308,1
12,20200314,1
12,20200315,1
12,20200321,1
12,20200322,1
12,20200328,1
13,20191231,1
14,20191226,1
14,20191227,1
14,20191230,1
14,20191231,1
15,20191214,1
15,20191215,1
15,20191221,1
15,20191222,1
15,20191225,1
15,20191228,1
15,20191229,1
15,20200101,1
15,20200104,1
16,20191214,1
16,20191215,1
16,20191221,1
16,20191222,1
16,20191225,1
16,20191228,1
16,20191229,1
16,20200101,1
17,20200303,1
18,20200303,1
18,20200304,1
19,20191214,1
19,20191221,1
19,20191228,1
19,20200104,1
19,20200111,1
19,20200118,1
19,20200125,1
19,20200201,1
19,20200208,1
19,20200215,1
19,20200222,1
19,20200229,1
19,20200307,1
19,20200314,1
19,20200321,1
19,20200328,1
19,20200404,1
19,20200411,1
19,20200418,1
19,20200425,1
19,20200502,1
19,20200509,1
19,20200516,1
19,20200523,1
19,20200530,1
20,20191215,1
20,20191222,1
20,20191225,1
20,20191229,1
20,20200101,1
20,20200105,1
20,20200112,1
20,20200119,1
20,20200126,1
20,20200202,1
20,20200209,1
20,20200216,1
20,20200223,1
20,20200301,1
20,20200308,1
20,20200315,1
20,20200322,1
20,20200329,1
20,20200405,1
20,20200412,1
20,20200419,1
20,20200426,1
20,20200503,1
20,20200510,1
20,20200517,1
20,20200524,1
20,20200531,1
21,20191209,1
21,20191210,1
21,20191211,1
21,20191212,1
21,20191213,1
21,20191216,1
21,20191217,1
21,20191218,1
21,20191219,1
21,20191220,1
21,20191223,1
21,20191224,1
21,20191226,1
21,20191227,1
21,20191230,1
21,20191231,1
21,20200102,1
21,20200103,1
21,20200106,1
21,20200107,1
21,20200108,1
21,20200109,1
21,20200110,1
21,20200113,1
21,20200114,1
21,20200115,1
21,20200116,1
21,20200117,1
21,20200120,1
21,20200121,1
21,20200122,1
21,20200123,1
21,20200124,1
21,20200127,1
21,20200128,1
21,20200129,1
21,20200130,1
21,20200131,1
21,20200203,1
21,20200204,1
21,20200205,1
21,20200206,1
21,20200207,1
21,20200210,1
21,20200211,1
21,20200212,1
21,20200213,1
21,20200214,1
21,20200217,1
21,20200218,1
21,20200219,1
21,20200220,1
21,20200221,1
21,20200224,1
21,20200225,1
21,20200226,1
21,20200227,1
21,20200228,1
21,20200302,1
21,20200303,1
21,20200304,1
21,20200305,1
21,20200306,1
21,20200309,1
21,20200310,1
21,20200311,1
21,20200312,1
21,20200313,1
21,20200316,1
21,20200317,1
21,20200318,1
21,20200319,1
21,20200320,1
21,20200323,1
21,20200324,1
21,20200325,1
21,20200326,1
21,20200327,1
21,20200330,1
21,20200331,1
21,20200401,1
21,20200402,1
21,20200403,1
21,20200406,1
21,20200407,1
21,20200408,1
21,20200409,1
21,20200410,1
21,20200413,1
21,20200414,1
21,20200415,1
21,20200416,1
21,20200417,1
21,20200420,1
21,20200421,1
21,20200422,1
21,20200423,1
21,20200424,1
21,20200427,1
21,20200428,1
21,20200429,1
21,20200430,1
21,20200501,1
21,20200504,1
21,20200505,1
21,20200506,1
21,20200507,1
21,20200508,1
21,20200511,1
21,20200512,1
21,20200513,1
21,20200514,1
21,20200515,1
21,20200518,1
21,20200519,1
21,20200520,1
21,20200521,1
21,20200522,1
21,20200525,1
21,20200526,1
21,20200527,1
21,20200528,1
21,20200529,1
21,20200601,1
21,20200602,1
21,20200603,1
21,20200604,1
21,20200605,1
22,20200101,1
23,20191214,1
23,20191215,1
23,20191221,1
23,20191222,1
23,20191225,1
23,20191228,1
23,20191229,1
23,20200104,1
24,20191209,1
24,20191210,1
24,20191211,1
24,20191212,1
24,20191213,1
24,20191216,1
24,20191217,1
24,20191218,1
24,20191219,1
24,20191220,1
24,20191223,1
24,20191224,1
24,20191226,1
24,20191227,1
24,20191230,1
24,20191231,1
24,20200102,1
24,20200103,1
24,20200106,1
24,20200107,1
24,20200108,1
24,20200109,1
24,20200110,1
24,20200113,1
24,20200114,1
24,20200115,1
24,20200116,1
24,20200117,1
24,20200121,1
24,20200122,1
24,20200123,1
24,20200124,1
24,20200127,1
24,20200128,1
24,20200129,1
24,20200130,1
24,20200131,1
24,20200203,1
24,20200204,1
24,20200205,1
24,20200206,1
24,20200207,1
24,20200210,1
24,20200211,1
24,20200212,1
24,20200213,1
24,20200214,1
24,20200218,1
24,20200219,1
24,20200220,1
24,20200221,1
24,20200224,1
24,20200225,1
24,20200226,1
24,20200227,1
24,20200228,1
24,20200302,1
24,20200305,1
24,20200306,1
24,20200309,1
24,20200310,1
24,20200311,1
24,20200312,1
24,20200313,1
24,20200316,1
24,20200317,1
24,20200318,1
24,20200319,1
24,20200320,1
24,20200323,1
24,20200324,1
24,20200325,1
24,20200326,1
24,20200327,1
25,20200104,1
25,20200110,1
25,20200111,1
25,20200117,1
25,20200118,1
25,20200119,1
25,20200124,1
25,20200125,1
25,20200131,1
25,20200201,1
25,20200207,1
25,20200208,1
25,20200214,1
25,20200215,1
25,20200216,1
25,20200221,1
25,20200222,1
25,20200228,1
25,20200229,1
25,20200306,1
25,20200307,1
25,20200313,1
25,20200314,1
25,20200320,1
25,20200321,1
25,20200327,1
26,20191209,1
26,20191210,1
26,20191211,1
26,20191212,1
26,20191215,1
26,20191216,1
26,20191217,1
26,20191218,1
26,20191219,1
26,20191222,1
26,20191223,1
26,20191225,1
26,20191226,1
26,20191229,1
26,20191230,1
26,20200101,1
