route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4608",1
1,1,2,"30TH ST. PHL.",0,"4610",2
1,1,3,"30TH ST. PHL.",0,"4612",3
1,1,4,"30TH ST. PHL.",0,"4616",4
1,1,5,"30TH ST. PHL.",0,"4620",5
1,1,6,"30TH ST. PHL.",0,"4624",6
1,1,7,"30TH ST. PHL.",0,"4628",7
1,1,8,"30TH ST. PHL.",0,"4630",8
1,1,9,"30TH ST. PHL.",0,"4632",9
1,1,10,"30TH ST. PHL.",0,"4634",10
1,1,11,"30TH ST. PHL.",0,"4638",11
1,1,12,"30TH ST. PHL.",0,"4642",12
1,2,13,"30TH ST. PHL.",0,"4660",13
1,2,14,"30TH ST. PHL.",0,"4662",14
1,2,15,"30TH ST. PHL.",0,"4664",15
1,2,16,"30TH ST. PHL.",0,"4668",16
1,2,17,"30TH ST. PHL.",0,"4670",17
1,2,18,"30TH ST. PHL.",0,"4674",18
1,2,19,"30TH ST. PHL.",0,"4678",19
1,2,20,"30TH ST. PHL.",0,"4680",20
1,2,21,"30TH ST. PHL.",0,"4682",21
1,2,22,"30TH ST. PHL.",0,"4684",22
1,2,23,"30TH ST. PHL.",0,"4688",23
1,2,24,"30TH ST. PHL.",0,"4692",24
1,1,25,"ATLANTIC CITY",1,"4613",25
1,1,26,"ATLANTIC CITY",1,"4615",26
1,1,27,"ATLANTIC CITY",1,"4617",27
1,1,28,"ATLANTIC CITY",1,"4623",28
1,1,29,"ATLANTIC CITY",1,"4627",29
1,1,30,"ATLANTIC CITY",1,"4631",30
1,1,31,"ATLANTIC CITY",1,"4633",31
1,1,32,"ATLANTIC CITY",1,"4635",32
1,1,33,"ATLANTIC CITY",1,"4639",33
1,1,34,"ATLANTIC CITY",1,"4641",34
1,1,35,"ATLANTIC CITY",1,"4643",35
1,1,36,"ATLANTIC CITY",1,"4651",36
1,2,37,"ATLANTIC CITY",1,"4661",37
1,2,38,"ATLANTIC CITY",1,"4669",38
1,2,39,"ATLANTIC CITY",1,"4671",39
1,2,40,"ATLANTIC CITY",1,"4673",40
1,2,41,"ATLANTIC CITY",1,"4677",41
1,2,42,"ATLANTIC CITY",1,"4679",42
1,2,43,"ATLANTIC CITY",1,"4683",43
1,2,44,"ATLANTIC CITY",1,"4685",44
1,2,45,"ATLANTIC CITY",1,"4687",45
1,2,46,"ATLANTIC CITY",1,"4689",46
1,2,47,"ATLANTIC CITY",1,"4693",47
1,3,48,"ATLANTIC CITY",1,"4697",48
2,4,49,"HOBOKEN",0,"1002",49
2,5,50,"HOBOKEN",0,"1090",50
2,4,51,"HOBOKEN",0,"1000",51
2,5,52,"HOBOKEN",0,"1092",52
2,4,53,"HOBOKEN",0,"1070",53
2,5,54,"HOBOKEN",0,"1094",54
2,4,55,"HOBOKEN",0,"1006",55
2,6,56,"HOBOKEN",0,"1002",56
2,4,57,"HOBOKEN",0,"1074",57
2,6,58,"HOBOKEN",0,"1000",58
2,6,59,"HOBOKEN",0,"1070",59
2,6,60,"HOBOKEN",0,"1006",60
2,6,61,"HOBOKEN",0,"1074",61
2,7,62,"HOBOKEN",0,"1090",62
2,7,63,"HOBOKEN",0,"1092",63
2,7,64,"HOBOKEN",0,"1094",64
2,4,65,"DOVER",1,"1009",65
2,5,66,"LAKE HOPATCONG",1,"1091",66
2,4,67,"MOUNT OLIVE",1,"1055",67
2,5,68,"LAKE HOPATCONG",1,"1093",68
2,4,69,"DENVILLE",1,"1003",69
2,5,70,"LAKE HOPATCONG",1,"1095",70
2,4,71,"LAKE HOPATCONG",1,"1011",71
2,6,72,"DOVER",1,"1009",72
2,4,73,"DOVER",1,"1001",73
2,6,74,"MOUNT OLIVE",1,"1055",74
2,4,75,"HACKETTSTOWN",1,"1079",75
2,6,76,"DENVILLE",1,"1003",76
2,4,77,"MOUNT OLIVE",1,"1061",77
2,6,78,"LAKE HOPATCONG",1,"1011",78
2,4,79,"HACKETTSTOWN",1,"1085",79
2,6,80,"DOVER",1,"1001",80
2,4,81,"HACKETTSTOWN",1,"1087",81
2,6,82,"HACKETTSTOWN",1,"1079",82
2,6,83,"MOUNT OLIVE",1,"1061",83
2,6,84,"HACKETTSTOWN",1,"1085",84
2,6,85,"HACKETTSTOWN",1,"1087",85
2,7,86,"LAKE HOPATCONG",1,"1091",86
2,7,87,"LAKE HOPATCONG",1,"1093",87
2,7,88,"LAKE HOPATCONG",1,"1095",88
3,8,89,"NEW YORK PENN STATION",0,"6206",89
3,5,90,"NEW YORK PENN STATION",0,"9200",90
3,9,91,"NEW YORK PENN STATION",0,"6280",91
3,5,92,"NEW YORK PENN STATION",0,"9202",92
3,4,93,"HOBOKEN",0,"0262",93
3,5,94,"NEW YORK PENN STATION",0,"9204",94
3,4,95,"NEW YORK PENN STATION",0,"6210",95
3,5,96,"HOBOKEN",0,"9530",96
3,4,97,"HOBOKEN",0,"0250",97
3,4,98,"NEW YORK PENN STATION",0,"6252",98
3,4,99,"HOBOKEN",0,"0204",99
3,10,100,"HOBOKEN",0,"0544",100
3,4,101,"HOBOKEN",0,"0208",101
3,11,102,"HOBOKEN",0,"0530",102
3,4,103,"HOBOKEN",0,"0212",103
3,12,104,"HOBOKEN",0,"0510",104
3,4,105,"NEW YORK PENN STATION",0,"6214",105
3,12,106,"HOBOKEN",0,"0514",106
3,4,107,"NEW YORK PENN STATION",0,"6278",107
3,12,108,"HOBOKEN",0,"0518",108
3,4,109,"NEW YORK PENN STATION",0,"6202",109
3,12,110,"HOBOKEN",0,"0522",110
3,4,111,"NEW YORK PENN STATION",0,"6204",111
3,12,112,"HOBOKEN",0,"0526",112
3,4,113,"NEW YORK PENN STATION",0,"6216",113
3,12,114,"HOBOKEN",0,"0534",114
3,4,115,"NEW YORK PENN STATION",0,"6222",115
3,12,116,"HOBOKEN",0,"0538",116
3,4,117,"NEW YORK PENN STATION",0,"6226",117
3,6,118,"NEW YORK PENN STATION",0,"6206",118
3,4,119,"NEW YORK PENN STATION",0,"6234",119
3,6,120,"NEW YORK PENN STATION",0,"6280",120
3,4,121,"NEW YORK PENN STATION",0,"6238",121
3,6,122,"HOBOKEN",0,"0262",122
3,4,123,"NEW YORK PENN STATION",0,"6242",123
3,6,124,"NEW YORK PENN STATION",0,"6210",124
3,4,125,"NEW YORK PENN STATION",0,"6248",125
3,6,126,"HOBOKEN",0,"0250",126
3,4,127,"NEW YORK PENN STATION",0,"6258",127
3,6,128,"NEW YORK PENN STATION",0,"6252",128
3,4,129,"NEW YORK PENN STATION",0,"6264",129
3,6,130,"HOBOKEN",0,"0204",130
3,4,131,"NEW YORK PENN STATION",0,"6274",131
3,6,132,"HOBOKEN",0,"0208",132
3,4,133,"NEW YORK PENN STATION",0,"6270",133
3,6,134,"HOBOKEN",0,"0212",134
3,4,135,"NEW YORK PENN STATION",0,"6230",135
3,6,136,"NEW YORK PENN STATION",0,"6214",136
3,4,137,"NEW YORK PENN STATION",0,"6200",137
3,6,138,"NEW YORK PENN STATION",0,"6278",138
3,6,139,"NEW YORK PENN STATION",0,"6202",139
3,6,140,"NEW YORK PENN STATION",0,"6204",140
3,6,141,"NEW YORK PENN STATION",0,"6216",141
3,6,142,"NEW YORK PENN STATION",0,"6222",142
3,13,143,"NEW YORK PENN STATION",0,"6280",143
3,6,144,"NEW YORK PENN STATION",0,"6226",144
3,14,145,"NEW YORK PENN STATION",0,"6206",145
3,6,146,"NEW YORK PENN STATION",0,"6234",146
3,15,147,"HOBOKEN",0,"0530",147
3,6,148,"NEW YORK PENN STATION",0,"6238",148
3,15,149,"HOBOKEN",0,"0510",149
3,6,150,"NEW YORK PENN STATION",0,"6242",150
3,15,151,"HOBOKEN",0,"0514",151
3,6,152,"NEW YORK PENN STATION",0,"6248",152
3,15,153,"HOBOKEN",0,"0518",153
3,6,154,"NEW YORK PENN STATION",0,"6258",154
3,15,155,"HOBOKEN",0,"0522",155
3,6,156,"NEW YORK PENN STATION",0,"6264",156
3,15,157,"HOBOKEN",0,"0526",157
3,6,158,"NEW YORK PENN STATION",0,"6274",158
3,15,159,"HOBOKEN",0,"0534",159
3,6,160,"NEW YORK PENN STATION",0,"6270",160
3,15,161,"HOBOKEN",0,"0538",161
3,6,162,"NEW YORK PENN STATION",0,"6230",162
3,16,163,"HOBOKEN",0,"0544",163
3,6,164,"NEW YORK PENN STATION",0,"6200",164
3,7,165,"HOBOKEN",0,"9540",165
3,7,166,"HOBOKEN",0,"9544",166
3,7,167,"NEW YORK PENN STATION",0,"9200",167
3,7,168,"NEW YORK PENN STATION",0,"9202",168
3,7,169,"NEW YORK PENN STATION",0,"9208",169
3,7,170,"NEW YORK PENN STATION",0,"9212",170
3,7,171,"NEW YORK PENN STATION",0,"9216",171
3,7,172,"NEW YORK PENN STATION",0,"9228",172
3,7,173,"NEW YORK PENN STATION",0,"9230",173
3,7,174,"NEW YORK PENN STATION",0,"9232",174
3,7,175,"NEW YORK PENN STATION",0,"9236",175
3,7,176,"NEW YORK PENN STATION",0,"9204",176
3,17,177,"HOBOKEN",0,"0544",177
3,7,178,"HOBOKEN",0,"9530",178
3,17,179,"HOBOKEN",0,"0530",179
3,17,180,"HOBOKEN",0,"0538",180
3,18,181,"HOBOKEN",0,"0510",181
3,18,182,"HOBOKEN",0,"0514",182
3,18,183,"HOBOKEN",0,"0518",183
3,18,184,"HOBOKEN",0,"0522",184
3,18,185,"HOBOKEN",0,"0526",185
3,18,186,"HOBOKEN",0,"0534",186
3,9,187,"MSU",1,"6299",187
3,6,188,"MSU",1,"6201",188
3,4,189,"MSU",1,"0211",189
3,5,190,"MSU",1,"9225",190
3,4,191,"MSU",1,"6263",191
3,5,192,"MSU",1,"9227",192
3,4,193,"MSU",1,"6279",193
3,5,194,"MSU",1,"9229",194
3,4,195,"MSU",1,"6213",195
3,4,196,"MSU",1,"0267",196
3,4,197,"MSU",1,"0275",197
3,4,198,"MSU",1,"6273",198
3,10,199,"BAY STREET",1,"0509",199
3,4,200,"MSU",1,"6215",200
3,12,201,"BAY STREET",1,"0513",201
3,4,202,"MSU",1,"6227",202
3,12,203,"BAY STREET",1,"0515",203
3,4,204,"MSU",1,"6297",204
3,12,205,"BAY STREET",1,"0519",205
3,4,206,"MSU",1,"6219",206
3,12,207,"BAY STREET",1,"0527",207
3,4,208,"MSU",1,"6233",208
3,12,209,"BAY STREET",1,"0531",209
3,4,210,"MSU",1,"6237",210
3,12,211,"BAY STREET",1,"0535",211
3,4,212,"MSU",1,"6241",212
3,12,213,"BAY STREET",1,"0539",213
3,4,214,"MSU",1,"6245",214
3,12,215,"BAY STREET",1,"0545",215
3,4,216,"MSU",1,"6251",216
3,12,217,"BAY STREET",1,"0523",217
3,4,218,"MSU",1,"6253",218
3,6,219,"MSU",1,"6299",219
3,4,220,"MSU",1,"6283",220
3,6,221,"MSU",1,"0211",221
3,4,222,"MSU",1,"6291",222
3,6,223,"MSU",1,"6263",223
3,4,224,"MSU",1,"6293",224
3,6,225,"MSU",1,"6279",225
3,4,226,"MSU",1,"6295",226
3,6,227,"MSU",1,"6213",227
3,4,228,"MSU",1,"6231",228
3,6,229,"MSU",1,"0267",229
3,4,230,"MSU",1,"6209",230
3,6,231,"MSU",1,"0275",231
3,9,232,"MSU",1,"6201",232
3,6,233,"MSU",1,"6273",233
3,6,234,"MSU",1,"6215",234
3,6,235,"MSU",1,"6227",235
3,6,236,"MSU",1,"6297",236
3,13,237,"MSU",1,"9201",237
3,6,238,"MSU",1,"6219",238
3,13,239,"MSU",1,"9203",239
3,6,240,"MSU",1,"6233",240
3,6,241,"MSU",1,"6237",241
3,15,242,"BAY STREET",1,"0513",242
3,6,243,"MSU",1,"6241",243
3,15,244,"BAY STREET",1,"0515",244
3,6,245,"MSU",1,"6245",245
3,15,246,"BAY STREET",1,"0519",246
3,6,247,"MSU",1,"6251",247
3,15,248,"BAY STREET",1,"0527",248
3,6,249,"MSU",1,"6253",249
3,15,250,"BAY STREET",1,"0531",250
3,6,251,"MSU",1,"6283",251
3,15,252,"BAY STREET",1,"0535",252
3,6,253,"MSU",1,"6291",253
3,15,254,"BAY STREET",1,"0539",254
3,6,255,"MSU",1,"6293",255
3,15,256,"BAY STREET",1,"0545",256
3,6,257,"MSU",1,"6295",257
3,15,258,"BAY STREET",1,"0523",258
3,6,259,"MSU",1,"6231",259
3,16,260,"BAY STREET",1,"0509",260
3,6,261,"MSU",1,"6209",261
3,7,262,"MSU",1,"9509",262
3,7,263,"MSU",1,"9539",263
3,7,264,"MSU",1,"9545",264
3,7,265,"MSU",1,"9215",265
3,7,266,"MSU",1,"9217",266
3,7,267,"MSU",1,"9221",267
3,7,268,"MSU",1,"9225",268
3,7,269,"MSU",1,"9227",269
3,7,270,"MSU",1,"9231",270
3,7,271,"MSU",1,"9233",271
3,7,272,"MSU",1,"9235",272
3,7,273,"MSU",1,"9237",273
3,7,274,"MSU",1,"9241",274
3,17,275,"BAY STREET",1,"0509",275
3,17,276,"BAY STREET",1,"0539",276
3,17,277,"BAY STREET",1,"0545",277
3,18,278,"BAY STREET",1,"0513",278
3,18,279,"BAY STREET",1,"0515",279
3,18,280,"BAY STREET",1,"0519",280
3,18,281,"BAY STREET",1,"0523",281
3,18,282,"BAY STREET",1,"0527",282
3,18,283,"BAY STREET",1,"0531",283
3,18,284,"BAY STREET",1,"0535",284
4,19,285,"HBLR HOBOKEN",0,"342JC006",285
4,19,286,"HBLR HOBOKEN",0,"342JC002",285
4,19,287,"HBLR HOBOKEN",0,"342JC004",285
4,19,288,"HBLR HOBOKEN",0,"342JC008",285
4,19,289,"HBLR HOBOKEN",0,"342JC006",285
4,19,290,"HBLR HOBOKEN",0,"342JC002",285
4,19,291,"HBLR HOBOKEN",0,"342JC004",285
4,19,292,"HBLR HOBOKEN",0,"342JC008",285
4,19,293,"HBLR HOBOKEN",0,"342JC006",285
4,19,294,"HBLR HOBOKEN",0,"342JC002",285
4,19,295,"HBLR HOBOKEN",0,"342JC004",285
4,19,296,"HBLR HOBOKEN",0,"342JC008",285
4,19,297,"HBLR HOBOKEN",0,"342JC006",285
4,19,298,"HBLR HOBOKEN",0,"342JC002",285
4,19,299,"HBLR HOBOKEN",0,"342JC004",285
4,19,300,"HBLR HOBOKEN",0,"342JC008",285
4,19,301,"HBLR HOBOKEN",0,"342JC006",285
4,19,302,"HBLR HOBOKEN",0,"342JC002",285
4,19,303,"HBLR HOBOKEN",0,"342JC004",285
4,19,304,"HBLR HOBOKEN",0,"342JC008",285
4,19,305,"HBLR HOBOKEN",0,"342JC006",285
4,19,306,"HBLR HOBOKEN",0,"342JC002",285
4,19,307,"HBLR HOBOKEN",0,"342JC004",285
4,19,308,"HBLR HOBOKEN",0,"342JC008",285
4,19,309,"HBLR HOBOKEN",0,"342JC006",285
4,19,310,"HBLR HOBOKEN",0,"342JC002",285
4,19,311,"HBLR HOBOKEN",0,"342JC004",285
4,19,312,"HBLR HOBOKEN",0,"342JC008",285
4,19,313,"HBLR HOBOKEN",0,"342JC006",285
4,19,314,"HBLR HOBOKEN",0,"342JC002",285
4,19,315,"HBLR HOBOKEN",0,"342JC004",285
4,19,316,"HBLR HOBOKEN",0,"342JC008",285
4,19,317,"HBLR HOBOKEN",0,"342JC006",285
4,19,318,"HBLR HOBOKEN",0,"342JC002",285
4,19,319,"HBLR HOBOKEN",0,"342JC004",285
4,19,320,"HBLR HOBOKEN",0,"342JC008",285
4,19,321,"HBLR HOBOKEN",0,"342JC006",285
4,19,322,"HBLR HOBOKEN",0,"342JC002",285
4,19,323,"HBLR HOBOKEN",0,"342JC004",285
4,19,324,"HBLR HOBOKEN",0,"342JC008",285
4,19,325,"HBLR HOBOKEN",0,"342JC006",285
4,19,326,"HBLR HOBOKEN",0,"342JC002",285
4,19,327,"HBLR HOBOKEN",0,"342JC004",285
4,19,328,"HBLR HOBOKEN",0,"342JC008",285
4,19,329,"HBLR HOBOKEN",0,"342JC006",285
4,19,330,"HBLR HOBOKEN",0,"342JC002",285
4,19,331,"HBLR HOBOKEN",0,"342JC004",285
4,19,332,"HBLR HOBOKEN",0,"342JC008",285
4,19,333,"HBLR HOBOKEN",0,"342JC006",285
4,19,334,"HBLR HOBOKEN",0,"342JC002",285
4,19,335,"HBLR HOBOKEN",0,"342JC004",285
4,19,336,"HBLR HOBOKEN",0,"342JC008",285
4,19,337,"HBLR HOBOKEN",0,"342JC006",285
4,19,338,"HBLR HOBOKEN",0,"342JC002",285
4,19,339,"HBLR HOBOKEN",0,"342JC004",285
4,19,340,"HBLR HOBOKEN",0,"342JC006",285
4,19,341,"HBLR HOBOKEN",0,"342JC002",285
4,19,342,"HBLR HOBOKEN",0,"342JC002",286
4,19,343,"HBLR HOBOKEN",0,"342JC004",286
4,19,344,"HBLR HOBOKEN",0,"342JC008",286
4,19,345,"HBLR TONNELLE",0,"342JC003",287
4,19,346,"HBLR TONNELLE",0,"342JC005",288
4,19,347,"HBLR TONNELLE",0,"342JC009",288
4,19,348,"HBLR TONNELLE",0,"342JC001",288
4,19,349,"HBLR TONNELLE",0,"342JC007",288
4,19,350,"HBLR TONNELLE",0,"342JC003",288
4,19,351,"HBLR TONNELLE",0,"342JC005",288
4,19,352,"HBLR TONNELLE",0,"342JC009",288
4,19,353,"HBLR TONNELLE",0,"342JC001",288
4,19,354,"HBLR TONNELLE",0,"342JC007",288
4,19,355,"HBLR TONNELLE",0,"342JC003",288
4,19,356,"HBLR TONNELLE",0,"342JC005",288
4,19,357,"HBLR TONNELLE",0,"342JC009",288
4,19,358,"HBLR TONNELLE",0,"342JC001",288
4,19,359,"HBLR TONNELLE",0,"342JC007",288
4,19,360,"HBLR TONNELLE",0,"342JC003",288
4,19,361,"HBLR TONNELLE",0,"342JC005",288
4,19,362,"HBLR TONNELLE",0,"342JC009",288
4,19,363,"HBLR TONNELLE",0,"342JC001",288
4,19,364,"HBLR TONNELLE",0,"342JC007",288
4,19,365,"HBLR TONNELLE",0,"342JC003",288
4,19,366,"HBLR TONNELLE",0,"342JC005",288
4,19,367,"HBLR TONNELLE",0,"342JC009",288
4,19,368,"HBLR TONNELLE",0,"342JC001",288
4,19,369,"HBLR TONNELLE",0,"342JC007",288
4,19,370,"HBLR TONNELLE",0,"342JC003",288
4,19,371,"HBLR TONNELLE",0,"342JC005",288
4,19,372,"HBLR TONNELLE",0,"342JC009",288
4,19,373,"HBLR TONNELLE",0,"342JC001",288
4,19,374,"HBLR TONNELLE",0,"342JC007",288
4,19,375,"HBLR TONNELLE",0,"342JC003",288
4,19,376,"HBLR TONNELLE",0,"342JC005",288
4,19,377,"HBLR TONNELLE",0,"342JC009",288
4,19,378,"HBLR TONNELLE",0,"342JC001",288
4,19,379,"HBLR TONNELLE",0,"342JC007",288
4,19,380,"HBLR TONNELLE",0,"342JC003",288
4,19,381,"HBLR TONNELLE",0,"342JC005",288
4,19,382,"HBLR TONNELLE",0,"342JC009",288
4,19,383,"HBLR TONNELLE",0,"342JC001",288
4,19,384,"HBLR TONNELLE",0,"342JC007",288
4,19,385,"HBLR TONNELLE",0,"342JC003",288
4,19,386,"HBLR TONNELLE",0,"342JC005",288
